X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-3.00E+08,5.00E+05
444,6.44E+00,1.18E+01,,
445,6.36E+00,1.17E+01,,
446,6.36E+00,1.17E+01,,
447,6.44E+00,1.18E+01,,
448,6.40E+00,1.18E+01,,
449,6.36E+00,1.17E+01,,
450,6.36E+00,1.17E+01,,
451,6.44E+00,1.18E+01,,
452,6.44E+00,1.17E+01,,
453,6.36E+00,1.18E+01,,
454,6.36E+00,1.18E+01,,
455,6.48E+00,1.17E+01,,
456,6.48E+00,1.18E+01,,
457,6.40E+00,1.17E+01,,
458,6.40E+00,1.17E+01,,
459,6.48E+00,1.18E+01,,
460,6.48E+00,1.18E+01,,
461,6.40E+00,1.17E+01,,
462,6.48E+00,1.17E+01,,
463,6.44E+00,1.18E+01,,
464,6.48E+00,1.18E+01,,
465,6.40E+00,1.17E+01,,
466,6.48E+00,1.17E+01,,
467,6.40E+00,1.18E+01,,
468,6.48E+00,1.17E+01,,
469,6.40E+00,1.18E+01,,
470,6.40E+00,1.17E+01,,
471,6.48E+00,1.18E+01,,
472,6.40E+00,1.17E+01,,
473,6.48E+00,1.18E+01,,
474,6.40E+00,1.18E+01,,
475,6.48E+00,1.17E+01,,
476,6.40E+00,1.17E+01,,
477,6.48E+00,1.18E+01,,
478,6.40E+00,1.17E+01,,
479,6.48E+00,1.18E+01,,
480,6.40E+00,1.17E+01,,
481,6.52E+00,1.18E+01,,
482,6.40E+00,1.17E+01,,
483,6.52E+00,1.18E+01,,
484,6.40E+00,1.17E+01,,
485,6.52E+00,1.18E+01,,
486,6.40E+00,1.17E+01,,
487,6.52E+00,1.18E+01,,
488,6.52E+00,1.17E+01,,
489,6.44E+00,1.18E+01,,
490,6.52E+00,1.18E+01,,
491,6.40E+00,1.17E+01,,
492,6.40E+00,1.17E+01,,
493,6.52E+00,1.18E+01,,
494,6.44E+00,1.17E+01,,
495,6.52E+00,1.18E+01,,
496,6.52E+00,1.18E+01,,
497,6.44E+00,1.17E+01,,
498,6.52E+00,1.17E+01,,
499,6.44E+00,1.18E+01,,
500,6.52E+00,1.17E+01,,
501,6.44E+00,1.18E+01,,
502,6.48E+00,1.17E+01,,
503,6.52E+00,1.18E+01,,
504,6.52E+00,1.18E+01,,
505,6.44E+00,1.17E+01,,
506,6.52E+00,1.17E+01,,
507,6.44E+00,1.18E+01,,
508,6.44E+00,1.18E+01,,
509,6.52E+00,1.17E+01,,
510,6.52E+00,1.17E+01,,
511,6.44E+00,1.18E+01,,
512,6.52E+00,1.17E+01,,
513,6.44E+00,1.18E+01,,
514,6.44E+00,1.17E+01,,
515,6.52E+00,1.18E+01,,
516,6.52E+00,1.17E+01,,
517,6.44E+00,1.18E+01,,
518,6.44E+00,1.18E+01,,
519,6.52E+00,1.17E+01,,
520,6.44E+00,1.17E+01,,
521,6.52E+00,1.18E+01,,
522,6.44E+00,1.17E+01,,
523,6.52E+00,1.18E+01,,
524,6.52E+00,1.17E+01,,
525,6.44E+00,1.18E+01,,
526,6.44E+00,1.18E+01,,
527,6.52E+00,1.17E+01,,
528,6.44E+00,1.18E+01,,
529,6.56E+00,1.17E+01,,
530,6.48E+00,1.17E+01,,
531,6.56E+00,1.18E+01,,
532,6.48E+00,1.17E+01,,
533,6.56E+00,1.18E+01,,
534,6.48E+00,1.17E+01,,
535,6.56E+00,1.18E+01,,
536,6.56E+00,1.18E+01,,
537,6.48E+00,1.17E+01,,
538,6.56E+00,1.18E+01,,
539,6.48E+00,1.17E+01,,
540,6.56E+00,1.18E+01,,
541,6.48E+00,1.17E+01,,
542,6.56E+00,1.17E+01,,
543,6.48E+00,1.18E+01,,
544,6.56E+00,1.18E+01,,
545,6.52E+00,1.17E+01,,
546,6.56E+00,1.17E+01,,
547,6.48E+00,1.18E+01,,
548,6.56E+00,1.17E+01,,
549,6.48E+00,1.18E+01,,
550,6.56E+00,1.17E+01,,
551,6.48E+00,1.18E+01,,
552,6.56E+00,1.17E+01,,
553,6.48E+00,1.18E+01,,
554,6.48E+00,1.17E+01,,
555,6.56E+00,1.18E+01,,
556,6.48E+00,1.17E+01,,
557,6.56E+00,1.18E+01,,
558,6.56E+00,1.17E+01,,
559,6.48E+00,1.18E+01,,
560,6.56E+00,1.17E+01,,
561,6.48E+00,1.18E+01,,
562,6.48E+00,1.17E+01,,
563,6.56E+00,1.18E+01,,
564,6.48E+00,1.17E+01,,
565,6.56E+00,1.18E+01,,
566,6.48E+00,1.17E+01,,
567,6.60E+00,1.18E+01,,
568,6.48E+00,1.17E+01,,
569,6.60E+00,1.18E+01,,
570,6.52E+00,1.17E+01,,
571,6.60E+00,1.18E+01,,
572,6.60E+00,1.17E+01,,
573,6.52E+00,1.18E+01,,
574,6.60E+00,1.17E+01,,
575,6.52E+00,1.18E+01,,
576,6.60E+00,1.17E+01,,
577,6.52E+00,1.18E+01,,
578,6.60E+00,1.17E+01,,
579,6.52E+00,1.18E+01,,
580,6.60E+00,1.17E+01,,
581,6.52E+00,1.18E+01,,
582,6.60E+00,1.17E+01,,
583,6.52E+00,1.18E+01,,
584,6.60E+00,1.17E+01,,
585,6.52E+00,1.18E+01,,
586,6.60E+00,1.18E+01,,
587,6.56E+00,1.17E+01,,
588,6.60E+00,1.17E+01,,
589,6.56E+00,1.18E+01,,
590,6.60E+00,1.17E+01,,
591,6.52E+00,1.18E+01,,
592,6.60E+00,1.17E+01,,
593,6.52E+00,1.18E+01,,
594,6.60E+00,1.17E+01,,
595,6.52E+00,1.18E+01,,
596,6.60E+00,1.18E+01,,
597,6.52E+00,1.17E+01,,
598,6.60E+00,1.17E+01,,
599,6.56E+00,1.18E+01,,
600,6.60E+00,1.17E+01,,
601,6.56E+00,1.18E+01,,
602,6.60E+00,1.17E+01,,
603,6.52E+00,1.18E+01,,
604,6.60E+00,1.17E+01,,
605,6.52E+00,1.18E+01,,
606,6.60E+00,1.17E+01,,
607,6.52E+00,1.18E+01,,
608,6.60E+00,1.17E+01,,
609,6.52E+00,1.18E+01,,
610,6.52E+00,1.17E+01,,
611,6.60E+00,1.18E+01,,
612,6.60E+00,1.17E+01,,
613,6.52E+00,1.18E+01,,
614,6.60E+00,1.18E+01,,
615,6.52E+00,1.17E+01,,
616,6.60E+00,1.18E+01,,
617,6.52E+00,1.17E+01,,
618,6.56E+00,1.17E+01,,
619,6.60E+00,1.18E+01,,
620,6.60E+00,1.17E+01,,
621,6.52E+00,1.18E+01,,
622,6.60E+00,1.18E+01,,
623,6.56E+00,1.17E+01,,
624,6.52E+00,1.17E+01,,
625,6.60E+00,1.18E+01,,
626,6.60E+00,1.17E+01,,
627,6.52E+00,1.18E+01,,
628,6.60E+00,1.18E+01,,
629,6.52E+00,1.17E+01,,
630,6.60E+00,1.18E+01,,
631,6.52E+00,1.17E+01,,
632,6.60E+00,1.18E+01,,
633,6.52E+00,1.17E+01,,
634,6.60E+00,1.17E+01,,
635,6.52E+00,1.18E+01,,
636,6.52E+00,1.18E+01,,
637,6.60E+00,1.17E+01,,
638,6.52E+00,1.18E+01,,
639,6.60E+00,1.17E+01,,
640,6.60E+00,1.18E+01,,
641,6.52E+00,1.17E+01,,
642,6.52E+00,1.17E+01,,
643,6.60E+00,1.18E+01,,
644,6.52E+00,1.18E+01,,
645,6.60E+00,1.17E+01,,
646,6.52E+00,1.17E+01,,
647,6.60E+00,1.18E+01,,
648,6.52E+00,1.18E+01,,
649,6.60E+00,1.17E+01,,
